entity_code,fiscal_month,recognized_cents,posted_on,preparer,memo
CL-US,FY2024-P01,7233541730,2024-03-08,JMR,first close on the new ledger
CL-US,FY2024-P02,8892967913,2024-04-12,JMR,
CL-US,FY2024-P03,7218566412,2024-05-10,JMR,
CL-US,FY2024-P04,7295118565,2024-06-07,JMR,
CL-US,FY2024-P05,9199494320,2024-07-12,JMR,
CL-US,FY2024-P06,7375152499,2024-08-09,JMR,
CL-US,FY2024-P07,7529882978,2024-09-06,JMR,
CL-US,FY2024-P08,9294083425,2024-10-11,JMR,
CL-US,FY2024-P09,7560553079,2024-11-08,JMR,
CL-US,FY2024-P10,7510874744,2024-12-06,JMR,
CL-US,FY2024-P11,9798294185,2025-01-10,JMR,
CL-US,FY2024-P12,7777327058,2025-02-07,JMR,
CL-US,FY2025-P01,7944565297,2025-03-07,JMR,
CL-US,FY2025-P02,9829522037,2025-04-11,JMR,
CL-DE,FY2025-P03,848006333,2025-05-09,JMR,first close for the entity; first invoices in EUR
CL-GB,FY2025-P03,1248559827,2025-05-09,JMR,first close for the entity; first invoices in GBP
CL-IE,FY2025-P03,434502408,2025-05-09,JMR,first close for the entity
CL-US,FY2025-P03,5644668428,2025-05-09,JMR,
CL-DE,FY2025-P04,970764380,2025-06-06,JMR,
CL-GB,FY2025-P04,1216582157,2025-06-06,JMR,
CL-IE,FY2025-P04,466771731,2025-06-06,JMR,
CL-US,FY2025-P04,5528080315,2025-06-06,JMR,
CL-DE,FY2025-P05,1198890811,2025-07-11,JMR,
CL-GB,FY2025-P05,1586243625,2025-07-11,JMR,
CL-IE,FY2025-P05,548734108,2025-07-11,JMR,
CL-US,FY2025-P05,7029509882,2025-07-11,JMR,
CL-DE,FY2025-P06,919312483,2025-08-08,PDV,
CL-GB,FY2025-P06,1259161494,2025-08-08,PDV,
CL-IE,FY2025-P06,494714059,2025-08-08,PDV,
CL-US,FY2025-P06,5781206669,2025-08-08,PDV,
CL-DE,FY2025-P07,1016317624,2025-09-05,PDV,
CL-GB,FY2025-P07,1319952769,2025-09-05,PDV,
CL-IE,FY2025-P07,422485407,2025-09-05,PDV,
CL-US,FY2025-P07,5854378143,2025-09-05,PDV,JE-2025-0117 posted before close
CL-DE,FY2025-P08,1298004939,2025-10-10,PDV,
CL-GB,FY2025-P08,1643315452,2025-10-10,PDV,
CL-IE,FY2025-P08,539132950,2025-10-10,PDV,
CL-US,FY2025-P08,7158347093,2025-10-10,PDV,
CL-DE,FY2025-P09,994962314,2025-11-07,PDV,
CL-GB,FY2025-P09,1332191729,2025-11-07,PDV,
CL-IE,FY2025-P09,443450477,2025-11-07,PDV,
CL-US,FY2025-P09,5909099735,2025-11-07,PDV,
CL-DE,FY2025-P10,1000128452,2025-12-05,PDV,
CL-GB,FY2025-P10,1390586118,2025-12-05,PDV,
CL-IE,FY2025-P10,423666469,2025-12-05,PDV,
CL-US,FY2025-P10,5924492392,2025-12-05,PDV,
CL-DE,FY2025-P11,1206413242,2026-01-09,AKT,
CL-GB,FY2025-P11,1817698481,2026-01-09,AKT,
CL-IE,FY2025-P11,610607837,2026-01-09,AKT,
CL-US,FY2025-P11,7539568003,2026-01-09,AKT,
CL-DE,FY2025-P12,976369230,2026-02-06,PDV,
CL-GB,FY2025-P12,1337650506,2026-02-06,PDV,
CL-IE,FY2025-P12,472293179,2026-02-06,PDV,
CL-US,FY2025-P12,6066744988,2026-02-06,PDV,
CL-DE,FY2026-P01,949098102,2026-03-06,PDV,
CL-GB,FY2026-P01,1281774276,2026-03-06,PDV,
CL-IE,FY2026-P01,543194003,2026-03-06,PDV,
CL-MX,FY2026-P01,10585149,2026-03-06,PDV,first close for the entity
CL-US,FY2026-P01,5934775702,2026-03-06,PDV,first gift-card breakage
CL-DE,FY2026-P02,1147366929,2026-04-10,PDV,
CL-GB,FY2026-P02,1540525713,2026-04-10,PDV,trade book rechecked after the P1 query
CL-IE,FY2026-P02,672018304,2026-04-10,PDV,
CL-MX,FY2026-P02,11260747,2026-04-10,PDV,
CL-US,FY2026-P02,7563532122,2026-04-10,PDV,
CL-DE,FY2026-P03,917557684,2026-05-08,PDV,
CL-GB,FY2026-P03,1262436676,2026-05-08,PDV,
CL-IE,FY2026-P03,587709158,2026-05-08,PDV,
CL-MX,FY2026-P03,10815646,2026-05-08,PDV,
CL-US,FY2026-P03,5955277415,2026-05-08,PDV,
CL-DE,FY2026-P04,870280323,2026-06-05,PDV,
CL-GB,FY2026-P04,1361266578,2026-06-05,PDV,
CL-IE,FY2026-P04,556308593,2026-06-05,PDV,
CL-MX,FY2026-P04,9646235,2026-06-05,PDV,
CL-US,FY2026-P04,6118617928,2026-06-05,PDV,
