Logistics cost — FY2026 (draft) — do not circulate,,,,,,,,
,,,,,,,,
Carrier Code,Lane,Fiscal Week,Ship Date,freight_cost,Fuel Surcharge,Accessorials,Unnamed: 7,Notes
BRFR ,LANE-01,FY2025-W44,02/12/2025,"3.751,47",,"338,91",,
BRFR,LANE-02,FY2025-W44,30/11/2025,"7.721,65",,"300,70",,"split shipment, one pallet held at origin"
BRFR,LANE-03,FY2025-W44,01/12/2025,"2.169,18",,"274,38",,"re-rated, see ticket SC-1182"
BRFR,LANE-04,FY2025-W44,04/12/2025,"1.635,26",,"36,91",,
BRFR,LANE-05,FY2025-W44,03/12/2025,"9.687,89",,"195,94",,
BRFR,LANE-06,FY2025-W44,02/12/2025,"8.477,21",,"45,41",,carrier credit applied
BRFR,LANE-07,FY2025-W44,02/12/2025,"5.549,43",,"318,31",,
BRFR,LANE-07,FY2025-W44,01/12/2025,"9.267,29",,"148,09",,
BRFR ,LANE-08,FY2025-W44,03/12/2025,"2.744,50",,"87,35",,carrier credit applied
BRFR,LANE-09,FY2025-W44,30/11/2025,"5.045,44",,"84,82",,
BRFR,LANE-10,FY2025-W44,03/12/2025,"5.372,41",,"22,90",,
BRFR,LANE-11,FY2025-W44,30/11/2025,"1.524,49",,"137,64",,"re-rated, see ticket SC-1182"
BRFR,LANE-12,FY2025-W44,04/12/2025,"4.901,74",,"248,80",,carrier credit applied
BRFR,LANE-13,FY2025-W44,02/12/2025,"5.795,52",,"46,59",,carrier credit applied
BRFR,LANE-14,FY2025-W44,02/12/2025,"1.821,07",,"122,13",,
BRFR,LANE-15,FY2025-W44,05/12/2025,"4.187,82",,"67,95",,
BRFR ,LANE-16,FY2025-W44,30/11/2025,"7.638,35",,"1,19",,
BRFR,LANE-17,FY2025-W44,02/12/2025,"10.800,40",,"14,23",,
BRFR,LANE-18,FY2025-W44,05/12/2025,"4.914,35",,"207,55",,
BRFR,LANE-19,FY2025-W44,06/12/2025,"739,64",,"338,21",,
BRFR,LANE-20,FY2025-W44,04/12/2025,"7.973,75",,"78,65",,"residential surcharge, disputed"
BRFR,LANE-01,FY2025-W45,12/12/2025,"9.074,83",,"162,21",,"estimate, invoice not received"
BRFR,LANE-02,FY2025-W45,11/12/2025,"8.294,16",,"261,88",,"split shipment, one pallet held at origin"
BRFR,LANE-02,FY2025-W45,08/12/2025,"4.193,12",,"315,28",,
BRFR ,LANE-03,FY2025-W45,11/12/2025,"9.442,63",,"219,40",,"split shipment, one pallet held at origin"
BRFR,LANE-04,FY2025-W45,10/12/2025,"2.683,22",,"250,13",,"residential surcharge, disputed"
BRFR,LANE-04,FY2025-W45,10/12/2025,"3.609,37",,"79,99",,carrier credit applied
BRFR,LANE-05,FY2025-W45,12/12/2025,"1.708,10",,"282,36",,
BRFR,LANE-05,FY2025-W45,08/12/2025,"1.286,54",,"294,24",,
BRFR,LANE-05,FY2025-W45,12/12/2025,"2.529,33",,"185,04",,"lane closed for two days, volume moved"
BRFR,LANE-06,FY2025-W45,07/12/2025,"1.239,97",,"235,79",,
BRFR,LANE-07,FY2025-W45,10/12/2025,"3.815,76",,"54,31",,"estimate, invoice not received"
BRFR ,LANE-07,FY2025-W45,12/12/2025,"10.542,17",,"314,66",,"residential surcharge, disputed"
BRFR,LANE-08,FY2025-W45,08/12/2025,"9.309,87",,"51,20",,
BRFR,LANE-08,FY2025-W45,08/12/2025,"846,01",,"208,54",,"lane closed for two days, volume moved"
BRFR,LANE-09,FY2025-W45,13/12/2025,"3.398,15",,"101,20",,
BRFR,LANE-09,FY2025-W45,10/12/2025,"10.751,64",,"61,67",,carrier credit applied
BRFR,LANE-10,FY2025-W45,10/12/2025,"9.358,62",,"45,50",,"re-rated, see ticket SC-1182"
BRFR,LANE-11,FY2025-W45,10/12/2025,"3.398,19",,"334,56",,"lane closed for two days, volume moved"
BRFR,LANE-11,FY2025-W45,10/12/2025,"4.343,67",,"194,47",,
BRFR ,LANE-12,FY2025-W45,09/12/2025,"10.767,74",,"45,74",,"lane closed for two days, volume moved"
BRFR,LANE-13,FY2025-W45,11/12/2025,"2.083,54",,"257,30",,
BRFR,LANE-14,FY2025-W45,08/12/2025,"1.885,12",,"172,62",,"lane closed for two days, volume moved"
BRFR,LANE-15,FY2025-W45,11/12/2025,"1.834,50",,"279,44",,"re-rated, see ticket SC-1182"
