carrier_code,week_start,fuel_pct_bps,landed_on
BRFR,2024-02-04,1300,2024-02-06
PLPC,2024-02-04,1425,2024-02-06
MWLG,2024-02-04,1225,2024-02-06
BRFR,2024-02-11,1350,2024-02-13
PLPC,2024-02-11,1400,2024-02-13
MWLG,2024-02-11,1200,2024-02-13
BRFR,2024-02-18,1400,2024-02-20
PLPC,2024-02-18,1325,2024-02-20
MWLG,2024-02-18,1200,2024-02-20
BRFR,2024-02-25,1425,2024-02-27
PLPC,2024-02-25,1300,2024-02-27
MWLG,2024-02-25,1225,2024-02-27
BRFR,2024-03-03,1425,2024-03-05
PLPC,2024-03-03,1275,2024-03-05
MWLG,2024-03-03,1250,2024-03-05
BRFR,2024-03-10,1425,2024-03-12
PLPC,2024-03-10,1275,2024-03-12
MWLG,2024-03-10,1275,2024-03-12
BRFR,2024-03-17,1400,2024-03-19
PLPC,2024-03-17,1275,2024-03-19
MWLG,2024-03-17,1275,2024-03-19
BRFR,2024-03-24,1425,2024-03-26
PLPC,2024-03-24,1300,2024-03-26
MWLG,2024-03-24,1250,2024-03-26
BRFR,2024-03-31,1450,2024-04-02
PLPC,2024-03-31,1275,2024-04-02
MWLG,2024-03-31,1225,2024-04-02
BRFR,2024-04-07,1525,2024-04-09
PLPC,2024-04-07,1250,2024-04-09
MWLG,2024-04-07,1200,2024-04-09
BRFR,2024-04-14,1550,2024-04-16
PLPC,2024-04-14,1200,2024-04-16
MWLG,2024-04-14,1175,2024-04-16
BRFR,2024-04-21,1600,2024-04-23
PLPC,2024-04-21,1125,2024-04-23
MWLG,2024-04-21,1200,2024-04-23
BRFR,2024-04-28,1600,2024-04-30
PLPC,2024-04-28,1100,2024-04-30
MWLG,2024-04-28,1250,2024-04-30
BRFR,2024-05-05,1575,2024-05-07
PLPC,2024-05-05,1075,2024-05-07
MWLG,2024-05-05,1300,2024-05-07
BRFR,2024-05-12,1525,2024-05-14
PLPC,2024-05-12,1075,2024-05-14
MWLG,2024-05-12,1350,2024-05-14
BRFR,2024-05-19,1500,2024-05-21
PLPC,2024-05-19,1100,2024-05-21
MWLG,2024-05-19,1375,2024-05-21
BRFR,2024-05-26,1475,2024-05-28
PLPC,2024-05-26,1100,2024-05-28
MWLG,2024-05-26,1375,2024-05-28
BRFR,2024-06-02,1500,2024-06-04
PLPC,2024-06-02,1125,2024-06-04
MWLG,2024-06-02,1350,2024-06-04
BRFR,2024-06-09,1525,2024-06-11
PLPC,2024-06-09,1100,2024-06-11
MWLG,2024-06-09,1350,2024-06-11
BRFR,2024-06-16,1525,2024-06-18
PLPC,2024-06-16,1050,2024-06-18
MWLG,2024-06-16,1350,2024-06-18
BRFR,2024-06-23,1525,2024-06-25
PLPC,2024-06-23,1025,2024-06-25
MWLG,2024-06-23,1400,2024-06-25
BRFR,2024-06-30,1500,2024-07-02
PLPC,2024-06-30,1000,2024-07-02
MWLG,2024-06-30,1450,2024-07-02
BRFR,2024-07-07,1450,2024-07-09
PLPC,2024-07-07,1000,2024-07-09
MWLG,2024-07-07,1500,2024-07-09
BRFR,2024-07-14,1400,2024-07-16
PLPC,2024-07-14,1025,2024-07-16
MWLG,2024-07-14,1550,2024-07-16
BRFR,2024-07-21,1350,2024-07-23
PLPC,2024-07-21,1075,2024-07-23
MWLG,2024-07-21,1575,2024-07-23
BRFR,2024-07-28,1300,2024-07-30
PLPC,2024-07-28,1125,2024-07-30
MWLG,2024-07-28,1575,2024-07-30
BRFR,2024-08-04,1300,2024-08-06
PLPC,2024-08-04,1150,2024-08-06
MWLG,2024-08-04,1575,2024-08-06
BRFR,2024-08-11,1300,2024-08-13
PLPC,2024-08-11,1175,2024-08-13
MWLG,2024-08-11,1550,2024-08-13
BRFR,2024-08-18,1325,2024-08-20
PLPC,2024-08-18,1150,2024-08-20
MWLG,2024-08-18,1550,2024-08-20
BRFR,2024-08-25,1300,2024-08-27
PLPC,2024-08-25,1150,2024-08-27
MWLG,2024-08-25,1575,2024-08-27
BRFR,2024-09-01,1275,2024-09-03
PLPC,2024-09-01,1150,2024-09-03
MWLG,2024-09-01,1600,2024-09-03
BRFR,2024-09-08,1225,2024-09-10
PLPC,2024-09-08,1150,2024-09-10
MWLG,2024-09-08,1650,2024-09-10
BRFR,2024-09-15,1175,2024-09-17
PLPC,2024-09-15,1200,2024-09-17
MWLG,2024-09-15,1675,2024-09-17
BRFR,2024-09-22,1125,2024-09-24
PLPC,2024-09-22,1275,2024-09-24
MWLG,2024-09-22,1700,2024-09-24
BRFR,2024-09-29,1100,2024-10-01
PLPC,2024-09-29,1350,2024-10-01
MWLG,2024-09-29,1675,2024-10-01
BRFR,2024-10-06,1100,2024-10-08
PLPC,2024-10-06,1375,2024-10-08
MWLG,2024-10-06,1625,2024-10-08
BRFR,2024-10-13,1125,2024-10-15
PLPC,2024-10-13,1400,2024-10-15
MWLG,2024-10-13,1575,2024-10-15
BRFR,2024-10-20,1150,2024-10-22
PLPC,2024-10-20,1400,2024-10-22
MWLG,2024-10-20,1550,2024-10-22
BRFR,2024-10-27,1175,2024-10-29
PLPC,2024-10-27,1375,2024-10-29
MWLG,2024-10-27,1550,2024-10-29
BRFR,2024-11-03,1175,2024-11-05
PLPC,2024-11-03,1375,2024-11-05
MWLG,2024-11-03,1575,2024-11-05
BRFR,2024-11-10,1150,2024-11-12
PLPC,2024-11-10,1400,2024-11-12
MWLG,2024-11-10,1600,2024-11-12
BRFR,2024-11-17,1125,2024-11-19
PLPC,2024-11-17,1450,2024-11-19
MWLG,2024-11-17,1600,2024-11-19
BRFR,2024-11-24,1100,2024-11-26
PLPC,2024-11-24,1500,2024-11-26
MWLG,2024-11-24,1600,2024-11-26
BRFR,2024-12-01,1100,2024-12-03
PLPC,2024-12-01,1550,2024-12-03
MWLG,2024-12-01,1550,2024-12-03
BRFR,2024-12-08,1125,2024-12-10
PLPC,2024-12-08,1575,2024-12-10
MWLG,2024-12-08,1500,2024-12-10
BRFR,2024-12-15,1200,2024-12-17
PLPC,2024-12-15,1575,2024-12-17
MWLG,2024-12-15,1450,2024-12-17
BRFR,2024-12-22,1250,2024-12-24
PLPC,2024-12-22,1550,2024-12-24
MWLG,2024-12-22,1400,2024-12-24
BRFR,2024-12-29,1300,2024-12-31
PLPC,2024-12-29,1525,2024-12-31
MWLG,2024-12-29,1375,2024-12-31
BRFR,2025-01-05,1300,2025-01-07
PLPC,2025-01-05,1500,2025-01-07
MWLG,2025-01-05,1400,2025-01-07
BRFR,2025-01-12,1300,2025-01-14
PLPC,2025-01-12,1475,2025-01-14
MWLG,2025-01-12,1425,2025-01-14
BRFR,2025-01-19,1300,2025-01-21
PLPC,2025-01-19,1500,2025-01-21
MWLG,2025-01-19,1425,2025-01-21
BRFR,2025-01-26,1300,2025-01-28
PLPC,2025-01-26,1525,2025-01-28
MWLG,2025-01-26,1400,2025-01-28
BRFR,2025-02-02,1325,2025-02-04
PLPC,2025-02-02,1550,2025-02-04
MWLG,2025-02-02,1375,2025-02-04
BRFR,2025-02-09,1375,2025-02-11
PLPC,2025-02-09,1550,2025-02-11
MWLG,2025-02-09,1325,2025-02-11
BRFR,2025-02-16,1450,2025-02-18
PLPC,2025-02-16,1525,2025-02-18
MWLG,2025-02-16,1275,2025-02-18
BRFR,2025-02-23,1500,2025-02-25
PLPC,2025-02-23,1475,2025-02-25
MWLG,2025-02-23,1250,2025-02-25
BRFR,2025-03-02,1550,2025-03-04
PLPC,2025-03-02,1425,2025-03-04
MWLG,2025-03-02,1250,2025-03-04
BRFR,2025-03-09,1575,2025-03-11
PLPC,2025-03-09,1375,2025-03-11
MWLG,2025-03-09,1275,2025-03-11
BRFR,2025-03-16,1575,2025-03-18
PLPC,2025-03-16,1350,2025-03-18
MWLG,2025-03-16,1300,2025-03-18
BRFR,2025-03-23,1550,2025-03-25
PLPC,2025-03-23,1350,2025-03-25
MWLG,2025-03-23,1325,2025-03-25
BRFR,2025-03-30,1550,2025-04-01
PLPC,2025-03-30,1350,2025-04-01
MWLG,2025-03-30,1350,2025-04-01
BRFR,2025-04-06,1550,2025-04-08
PLPC,2025-04-06,1375,2025-04-08
MWLG,2025-04-06,1325,2025-04-08
BRFR,2025-04-13,1575,2025-04-15
PLPC,2025-04-13,1350,2025-04-15
MWLG,2025-04-13,1300,2025-04-15
BRFR,2025-04-20,1625,2025-04-22
PLPC,2025-04-20,1325,2025-04-22
MWLG,2025-04-20,1275,2025-04-22
BRFR,2025-04-27,1675,2025-04-29
PLPC,2025-04-27,1275,2025-04-29
MWLG,2025-04-27,1275,2025-04-29
BRFR,2025-05-04,1700,2025-05-06
PLPC,2025-05-04,1225,2025-05-06
MWLG,2025-05-04,1300,2025-05-06
BRFR,2025-05-11,1675,2025-05-13
PLPC,2025-05-11,1175,2025-05-13
MWLG,2025-05-11,1350,2025-05-13
BRFR,2025-05-18,1650,2025-05-20
PLPC,2025-05-18,1150,2025-05-20
MWLG,2025-05-18,1400,2025-05-20
BRFR,2025-05-25,1600,2025-05-27
PLPC,2025-05-25,1150,2025-05-27
MWLG,2025-05-25,1450,2025-05-27
BRFR,2025-06-01,1575,2025-06-03
PLPC,2025-06-01,1175,2025-06-03
MWLG,2025-06-01,1475,2025-06-03
BRFR,2025-06-08,1550,2025-06-10
PLPC,2025-06-08,1225,2025-06-10
MWLG,2025-06-08,1475,2025-06-10
BRFR,2025-06-15,1550,2025-06-17
PLPC,2025-06-15,1225,2025-06-17
MWLG,2025-06-15,1475,2025-06-17
BRFR,2025-06-22,1575,2025-06-24
PLPC,2025-06-22,1200,2025-06-24
MWLG,2025-06-22,1450,2025-06-24
BRFR,2025-06-29,1575,2025-07-01
PLPC,2025-06-29,1175,2025-07-01
MWLG,2025-06-29,1475,2025-07-01
BRFR,2025-07-06,1575,2025-07-08
PLPC,2025-07-06,1150,2025-07-08
MWLG,2025-07-06,1500,2025-07-08
BRFR,2025-07-13,1550,2025-07-15
PLPC,2025-07-13,1125,2025-07-15
MWLG,2025-07-13,1550,2025-07-15
BRFR,2025-07-20,1500,2025-07-22
PLPC,2025-07-20,1150,2025-07-22
MWLG,2025-07-20,1600,2025-07-22
BRFR,2025-07-27,1425,2025-07-29
PLPC,2025-07-27,1175,2025-07-29
