card_version,carrier_code,service_level,break_seq,upper_bound_g,break_kg,base_cents,zone_step_cents,weight_step_cents,dim_divisor,zone_matrix_json,effective_from,effective_to,landed_on
BL-2024A,BRFR,ground_2day,1,1000,1,780,96,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2024-02-04,2025-02-01,2024-01-29
BL-2024A,BRFR,ground_2day,2,5000,5,780,96,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2024-02-04,2025-02-01,2024-01-29
BL-2024A,BRFR,ground_2day,3,15000,15,780,96,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2024-02-04,2025-02-01,2024-01-29
BL-2024A,BRFR,ground_2day,4,30000,30,780,96,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2024-02-04,2025-02-01,2024-01-29
BL-2024A,BRFR,ground_2day,5,70000,70,780,96,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2024-02-04,2025-02-01,2024-01-29
BL-2024A,BRFR,express_next,1,1000,1,1840,96,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2024-02-04,2025-02-01,2024-01-29
BL-2024A,BRFR,express_next,2,5000,5,1840,96,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2024-02-04,2025-02-01,2024-01-29
BL-2024A,BRFR,express_next,3,15000,15,1840,96,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2024-02-04,2025-02-01,2024-01-29
BL-2024A,BRFR,express_next,4,30000,30,1840,96,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2024-02-04,2025-02-01,2024-01-29
BL-2024A,BRFR,express_next,5,70000,70,1840,96,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2024-02-04,2025-02-01,2024-01-29
BL-2025A,BRFR,ground_2day,1,1000,1,780,96,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2025-02-01,2026-02-01,2025-01-27
BL-2025A,BRFR,ground_2day,2,5000,5,780,96,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2025-02-01,2026-02-01,2025-01-27
BL-2025A,BRFR,ground_2day,3,15000,15,780,96,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2025-02-01,2026-02-01,2025-01-27
BL-2025A,BRFR,ground_2day,4,30000,30,780,96,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2025-02-01,2026-02-01,2025-01-27
BL-2025A,BRFR,ground_2day,5,70000,70,780,96,41,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2025-02-01,2026-02-01,2025-01-27
BL-2025A,BRFR,express_next,1,1000,1,1840,96,96,5000,"{""basis"":""dest_region"",""zones"":{""US-W"":2,""US-SW"":3,""US-MW"":4,""US-NE"":6,""US-SE"":6,""CA-W"":3,""CA-E"":5,""GB"":7,""IE"":7,""DE"":8}}",2025-02-01,2026-02-01,2025-01-27
